representation,k,seed_a,seed_b,ari_between_runs
robust_final_precluster_matrix,3,512,2026,0.9987559896779203
robust_final_precluster_matrix,3,1024,2026,0.9987559896779203
robust_final_precluster_matrix,4,7,21,0.9994476183590884
robust_final_precluster_matrix,4,7,42,0.9990300077245547
robust_final_precluster_matrix,4,7,84,0.9987460167787782
robust_final_precluster_matrix,4,7,123,0.9996990036702877
robust_final_precluster_matrix,4,7,168,0.9990160115325312
robust_final_precluster_matrix,4,7,256,0.9987588604634494
robust_final_precluster_matrix,4,7,512,0.9980401211042785
robust_final_precluster_matrix,4,7,1024,0.9999023066378713
robust_final_precluster_matrix,4,7,2026,0.9996825909317523
robust_final_precluster_matrix,4,21,42,0.9987647507814895
robust_final_precluster_matrix,4,21,84,0.9983702596591675
robust_final_precluster_matrix,4,21,123,0.9992573043692382
robust_final_precluster_matrix,4,21,168,0.9986402117019533
robust_final_precluster_matrix,4,21,256,0.9984297339272912
robust_final_precluster_matrix,4,21,512,0.9981745361778259
robust_final_precluster_matrix,4,21,1024,0.9994519244745537
robust_final_precluster_matrix,4,21,2026,0.9991769866865063
robust_final_precluster_matrix,4,42,84,0.9989051264444605
robust_final_precluster_matrix,4,42,123,0.9988398227837937
robust_final_precluster_matrix,4,42,168,0.9991751836624444
robust_final_precluster_matrix,4,42,256,0.9991513208640752
robust_final_precluster_matrix,4,42,512,0.9978762958139589
robust_final_precluster_matrix,4,42,1024,0.9990809857545543
robust_final_precluster_matrix,4,42,2026,0.9987681333709341
robust_final_precluster_matrix,4,84,123,0.9985005011208836
robust_final_precluster_matrix,4,84,168,0.9996831877933043
robust_final_precluster_matrix,4,84,256,0.9995044178175744
robust_final_precluster_matrix,4,84,512,0.9985690086014317
robust_final_precluster_matrix,4,84,1024,0.9986483536109655
robust_final_precluster_matrix,4,84,2026,0.998573965098569
robust_final_precluster_matrix,4,123,168,0.998770474825543
robust_final_precluster_matrix,4,123,256,0.9985133689023981
robust_final_precluster_matrix,4,123,512,0.9977946534561879
robust_final_precluster_matrix,4,123,1024,0.9997033311191895
robust_final_precluster_matrix,4,123,2026,0.99973973240447
robust_final_precluster_matrix,4,168,256,0.9994642315013699
robust_final_precluster_matrix,4,168,512,0.9987006222201755
robust_final_precluster_matrix,4,168,1024,0.9989183456206618
robust_final_precluster_matrix,4,168,2026,0.9988439493563871
robust_final_precluster_matrix,4,256,512,0.9984887931511466
robust_final_precluster_matrix,4,256,1024,0.9987545407503831
robust_final_precluster_matrix,4,256,2026,0.9985868394407137
robust_final_precluster_matrix,4,512,1024,0.9979424989790483
robust_final_precluster_matrix,4,512,2026,0.9980547095275127
robust_final_precluster_matrix,4,1024,2026,0.999584925560572
robust_final_precluster_matrix,5,7,21,0.9951052754317774
robust_final_precluster_matrix,5,7,42,0.9982209994701357
robust_final_precluster_matrix,5,7,84,0.9989144358194463
robust_final_precluster_matrix,5,7,123,0.9980473578823277
robust_final_precluster_matrix,5,7,168,0.9986606905739767
robust_final_precluster_matrix,5,7,256,0.996170415801096
robust_final_precluster_matrix,5,7,512,0.9990866625507865
robust_final_precluster_matrix,5,7,1024,0.9963516401098153
robust_final_precluster_matrix,5,7,2026,0.999162179342108
robust_final_precluster_matrix,5,21,42,0.9961687089527592
robust_final_precluster_matrix,5,21,84,0.9943879922837066
robust_final_precluster_matrix,5,21,123,0.9954500395996424
robust_final_precluster_matrix,5,21,168,0.9943170400924615
robust_final_precluster_matrix,5,21,256,0.9968610076077201
robust_final_precluster_matrix,5,21,512,0.9945929559187145
robust_final_precluster_matrix,5,21,1024,0.9953943586186753
robust_final_precluster_matrix,5,21,2026,0.9946152540486438
robust_final_precluster_matrix,5,42,84,0.9980150261123472
robust_final_precluster_matrix,5,42,123,0.9976073947813583
robust_final_precluster_matrix,5,42,168,0.9979439184145814
robust_final_precluster_matrix,5,42,256,0.9967524046063311
robust_final_precluster_matrix,5,42,512,0.9982204965724676
robust_final_precluster_matrix,5,42,1024,0.9971430291956268
robust_final_precluster_matrix,5,42,2026,0.9982427784153879
robust_final_precluster_matrix,5,84,123,0.997013079887876
robust_final_precluster_matrix,5,84,168,0.9997157660595003
robust_final_precluster_matrix,5,84,256,0.9951672077167696
robust_final_precluster_matrix,5,84,512,0.9997943192954459
robust_final_precluster_matrix,5,84,1024,0.996830606832627
robust_final_precluster_matrix,5,84,2026,0.9996715887374725
robust_final_precluster_matrix,5,123,168,0.9968097628126606
robust_final_precluster_matrix,5,123,256,0.9981214740913078
robust_final_precluster_matrix,5,123,512,0.9972184627717325
robust_final_precluster_matrix,5,123,1024,0.9954639006173189
robust_final_precluster_matrix,5,123,2026,0.9972104526408982
robust_final_precluster_matrix,5,168,256,0.9949639916451091
robust_final_precluster_matrix,5,168,512,0.9995404426711012
robust_final_precluster_matrix,5,168,1024,0.9970673462304297
robust_final_precluster_matrix,5,168,2026,0.9994480601622362
robust_final_precluster_matrix,5,256,512,0.9953724056763633
robust_final_precluster_matrix,5,256,1024,0.9939931603109537
robust_final_precluster_matrix,5,256,2026,0.9953643556980459
robust_final_precluster_matrix,5,512,1024,0.9968803204007932
robust_final_precluster_matrix,5,512,2026,0.9997417274873375
robust_final_precluster_matrix,5,1024,2026,0.9967990143880727
robust_final_precluster_matrix,6,7,21,0.8844927751057948
robust_final_precluster_matrix,6,7,42,0.6368820122141657
robust_final_precluster_matrix,6,7,84,0.6369073111756568
robust_final_precluster_matrix,6,7,123,0.6358575161684022
robust_final_precluster_matrix,6,7,168,0.6369701840980526
robust_final_precluster_matrix,6,7,256,0.6365193488500465
robust_final_precluster_matrix,6,7,512,0.8847254058797404
robust_final_precluster_matrix,6,7,1024,0.6363352312717528
robust_final_precluster_matrix,6,7,2026,0.636227263703843
robust_final_precluster_matrix,6,21,42,0.6634917151843759
robust_final_precluster_matrix,6,21,84,0.6635252536074648
robust_final_precluster_matrix,6,21,123,0.6623138311492279
robust_final_precluster_matrix,6,21,168,0.6635954773908014
robust_final_precluster_matrix,6,21,256,0.6630735547641965
robust_final_precluster_matrix,6,21,512,0.998748264006281
robust_final_precluster_matrix,6,21,1024,0.6629230122936463
robust_final_precluster_matrix,6,21,2026,0.6628055029044406
robust_final_precluster_matrix,6,42,84,0.9996881817621296
robust_final_precluster_matrix,6,42,123,0.9977961142022221
robust_final_precluster_matrix,6,42,168,0.9997549069075403
robust_final_precluster_matrix,6,42,256,0.9991941051413541
robust_final_precluster_matrix,6,42,512,0.6629546587246966
robust_final_precluster_matrix,6,42,1024,0.9970685851537147
robust_final_precluster_matrix,6,42,2026,0.9968110327056865
robust_final_precluster_matrix,6,84,123,0.9977233825926618
robust_final_precluster_matrix,6,84,168,0.9996791720635034
robust_final_precluster_matrix,6,84,256,0.9991687450545279
robust_final_precluster_matrix,6,84,512,0.662988060584716
robust_final_precluster_matrix,6,84,1024,0.9973459142960185
robust_final_precluster_matrix,6,84,2026,0.9970883020728092
robust_final_precluster_matrix,6,123,168,0.9976996789819489
robust_final_precluster_matrix,6,123,256,0.9979316527713333
robust_final_precluster_matrix,6,123,512,0.6617768965082906
robust_final_precluster_matrix,6,123,1024,0.9971574271909747
robust_final_precluster_matrix,6,123,2026,0.9968525692234957
robust_final_precluster_matrix,6,168,256,0.999050146086611
robust_final_precluster_matrix,6,168,512,0.6630583757356646
robust_final_precluster_matrix,6,168,1024,0.9970256744082167
robust_final_precluster_matrix,6,168,2026,0.9967681089372099
robust_final_precluster_matrix,6,256,512,0.6625365662435616
robust_final_precluster_matrix,6,256,1024,0.9976716797535156
robust_final_precluster_matrix,6,256,2026,0.9973666532180665
robust_final_precluster_matrix,6,512,1024,0.6623851545576194
robust_final_precluster_matrix,6,512,2026,0.6622675608726253
robust_final_precluster_matrix,6,1024,2026,0.9996440124202531
robust_final_precluster_matrix,7,7,21,0.997888494101083
robust_final_precluster_matrix,7,7,42,0.7683214346010622
robust_final_precluster_matrix,7,7,84,0.890732695237047
robust_final_precluster_matrix,7,7,123,0.7836492664799206
robust_final_precluster_matrix,7,7,168,0.8907829092208024
robust_final_precluster_matrix,7,7,256,0.9981391046982571
robust_final_precluster_matrix,7,7,512,0.830288989767917
robust_final_precluster_matrix,7,7,1024,0.8909899301550376
robust_final_precluster_matrix,7,7,2026,0.999212982624946
robust_final_precluster_matrix,7,21,42,0.7687650486004601
robust_final_precluster_matrix,7,21,84,0.8897492046454236
robust_final_precluster_matrix,7,21,123,0.783377532196384
robust_final_precluster_matrix,7,21,168,0.8897993441607454
robust_final_precluster_matrix,7,21,256,0.9996656807418355
robust_final_precluster_matrix,7,21,512,0.8314678337192805
robust_final_precluster_matrix,7,21,1024,0.8900062457595389
robust_final_precluster_matrix,7,21,2026,0.9980834273184437
robust_final_precluster_matrix,7,42,84,0.8135765436811574
robust_final_precluster_matrix,7,42,123,0.6353032780296344
robust_final_precluster_matrix,7,42,168,0.8134419985440601
robust_final_precluster_matrix,7,42,256,0.768778797566108
robust_final_precluster_matrix,7,42,512,0.9059629456445606
robust_final_precluster_matrix,7,42,1024,0.8144443337066618
robust_final_precluster_matrix,7,42,2026,0.7680969488906327
robust_final_precluster_matrix,7,84,123,0.7399135631669782
robust_final_precluster_matrix,7,84,168,0.9998466696994367
robust_final_precluster_matrix,7,84,256,0.8898274956127462
robust_final_precluster_matrix,7,84,512,0.7557806295040762
robust_final_precluster_matrix,7,84,1024,0.998926936739212
robust_final_precluster_matrix,7,84,2026,0.8907225647064239
robust_final_precluster_matrix,7,123,168,0.7398030064131325
robust_final_precluster_matrix,7,123,256,0.7833825692285781
robust_final_precluster_matrix,7,123,512,0.6683692721988064
robust_final_precluster_matrix,7,123,1024,0.7400246968897896
robust_final_precluster_matrix,7,123,2026,0.7835551881001905
robust_final_precluster_matrix,7,168,256,0.8898776414186029
robust_final_precluster_matrix,7,168,512,0.7557438296363478
robust_final_precluster_matrix,7,168,1024,0.9987737443751824
robust_final_precluster_matrix,7,168,2026,0.8907727553890832
robust_final_precluster_matrix,7,256,512,0.8312628721865613
robust_final_precluster_matrix,7,256,1024,0.8900845418037497
robust_final_precluster_matrix,7,256,2026,0.9982849141101572
robust_final_precluster_matrix,7,512,1024,0.7564592870794205
robust_final_precluster_matrix,7,512,2026,0.8302851597196372
robust_final_precluster_matrix,7,1024,2026,0.8909798705416807
robust_final_precluster_matrix,8,7,21,0.9138790213882486
robust_final_precluster_matrix,8,7,42,0.6701237462363883
robust_final_precluster_matrix,8,7,84,0.913606525669167
robust_final_precluster_matrix,8,7,123,0.6023975720387473
robust_final_precluster_matrix,8,7,168,0.9138726939286208
robust_final_precluster_matrix,8,7,256,0.9140402921373095
